_uid_,id,state,county,month,day,hour,minute,ve_forms,persons,peds,nhs,road_fnc,route,sp_jur,harm_ev,man_coll,rel_road,lgt_cond,weather,not_hour,not_min,arr_hour,arr_min,hosp_hr,hosp_mn,sch_bus,cf1,cf2,cf3,fatals,day_week,drunk_dr,st_case,city,milept,year,tway_id,tway_id2,rail,latitude,longitud,road_fnc_1,streetid
472,1,42,101,1,22,18,31,1,2,1,1,13,3,0,8,0,1,3,1,99,99,99,99,99,99,0,0,0,0,1,5,1,420074,6540,2.000000000000000,2004,SR-309,FIFTEENTH ST,0000000,40.064102779999999,-75.140794439999993,13,35241
775,2,42,101,1,22,21,28,2,3,0,0,16,6,0,12,5,1,3,1,99,99,99,99,99,99,0,0,0,0,2,5,1,420093,6540,0.000000000000000,2004,FIFTH ST,SUSQUEHANNA AV,0000000,39.984455560000001,-75.141869439999994,16,20748
281,3,42,101,1,11,6,39,1,2,1,0,14,3,0,8,0,1,1,1,99,99,99,99,99,99,0,0,0,0,1,1,0,420094,6540,52.000000000000000,2004,SR-1004,SR-2009,0000000,40.013633329999998,-75.068591670000004,14,8757
102,4,42,101,2,13,13,49,1,2,1,0,13,3,0,8,0,1,1,1,99,99,99,99,99,99,0,0,0,0,1,6,0,420095,6540,43.000000000000000,2004,SR-3,CHESTNUT ST,0000000,39.951369440000001,-75.168816669999998,13,726
282,5,42,101,2,10,21,5,2,2,0,0,13,2,0,12,4,1,3,1,99,99,99,99,99,99,0,0,0,0,1,3,0,420096,6540,89.000000000000000,2004,US-13,99999999999999999999,0000000,40.028011110000001,-75.059174999999996,13,27199
507,6,42,101,2,18,0,34,1,1,0,0,16,6,0,33,0,99,3,1,0,39,0,51,1,15,0,0,0,0,1,4,1,420069,6540,0.000000000000000,2004,WALT WHITMAN BR,TOLL LANE,0000000,39.909919440000003,-75.155188890000005,16,34840
283,7,42,101,2,25,18,20,2,2,0,1,13,3,0,12,5,1,3,1,99,99,99,99,99,99,0,0,0,0,1,4,2,420097,6540,47.000000000000000,2004,SR-2009,CHELTENHAM AV,0000000,40.017580559999999,-75.065169440000005,13,7781
776,8,42,101,1,26,21,20,1,4,0,1,12,2,0,21,0,2,3,8,99,99,99,99,99,99,0,0,0,0,1,2,0,420098,6540,65.000000000000000,2004,US-1,99999999999999999999,0000000,40.020097219999997,-75.150555560000001,12,26002
508,9,42,101,2,27,19,45,1,2,1,0,16,6,0,8,0,1,3,1,99,99,99,99,99,99,0,0,0,0,1,6,0,420099,6540,0.000000000000000,2004,WOLF ST,99999999999999999999,0000000,39.924163890000003,-75.190744440000003,16,10848
284,10,42,101,4,7,15,34,2,2,0,0,13,3,0,12,2,1,1,1,99,99,99,99,99,99,0,0,0,0,1,4,0,420117,6540,12.000000000000000,2004,SR-1013,CONVENT AV,0000000,40.062588890000001,-75.009455560000006,13,16613
777,11,42,101,5,10,23,11,1,3,1,1,13,3,0,8,0,1,3,1,99,99,99,99,99,99,0,0,0,0,3,2,1,420118,6540,50.000000000000000,2004,SR-611,VENANGO ST,0000000,40.007638890000003,-75.151449999999997,13,25478
1,12,42,101,4,18,7,0,1,1,0,0,99,3,0,25,0,2,1,1,99,99,99,99,0,0,0,0,0,0,1,1,0,420119,6540,9.000000000000000,2004,SR-8004,99999999999999999999,0000000,40.003250000000001,-75.194961109999994,99,3464
194,13,42,101,4,28,16,56,1,1,0,0,14,3,0,14,0,2,1,1,16,55,17,7,17,25,0,0,0,0,1,4,0,420120,6540,7.000000000000000,2004,SR-1015,99999999999999999999,0000000,40.075161110000003,-74.979502780000004,14,16114
285,14,42,101,2,18,13,0,1,2,1,0,16,6,0,8,0,1,1,1,13,5,13,10,0,0,0,0,0,0,1,4,0,420171,6540,0.000000000000000,2004,CRISPIN ST,99999999999999999999,0000000,40.051422219999999,-75.013208329999998,16,16745
778,15,42,101,5,11,17,17,1,2,1,1,13,3,0,8,0,1,1,1,17,13,17,19,17,35,0,0,0,0,1,3,0,420175,6540,49.000000000000000,2004,SR-611,99999999999999999999,0000000,40.005805559999999,-75.151872220000001,13,31793
779,16,42,101,3,28,22,18,2,2,0,1,13,3,0,12,3,1,3,1,22,18,22,21,22,41,0,0,0,0,1,1,0,420201,6540,64.000000000000000,2004,SR-611,ROCKLAND ST,0000000,40.027680560000000,-75.147261110000002,13,25888
473,17,42,101,4,17,7,50,1,2,1,0,16,6,0,8,0,1,1,1,99,99,99,99,99,99,0,0,0,0,1,7,0,420202,6540,0.000000000000000,2004,SECOND ST,99999999999999999999,0000000,40.052888889999998,-75.122211109999995,16,31822
286,18,42,101,4,15,22,15,1,2,0,0,13,2,0,30,0,6,3,1,22,14,22,18,22,42,0,0,0,0,2,5,1,420203,6540,114.000000000000000,2004,US-13,99999999999999999999,0000000,40.046333330000003,-75.015574999999998,13,18666
287,19,42,101,4,27,14,40,2,3,0,0,13,3,0,12,4,1,1,1,14,40,14,48,15,4,0,0,0,0,1,3,0,420204,6540,9.000000000000000,2004,SR-1013,SR-1016,0000000,40.057822219999998,-75.008755559999997,13,16810
288,20,42,101,3,27,0,40,1,1,0,0,14,3,0,42,0,3,3,1,0,43,0,48,1,16,0,0,0,0,1,7,0,420205,6540,17.000000000000000,2004,SR-1016,99999999999999999999,0000000,40.056649999999998,-75.013022219999996,14,16719
289,21,42,101,3,5,13,0,1,1,0,0,16,6,0,33,0,4,1,1,99,99,99,99,99,99,0,0,0,0,1,6,0,420206,6540,0.000000000000000,2004,WALNUT HILL RD,99999999999999999999,0000000,40.057758329999999,-75.033491670000004,16,23760
290,22,42,101,4,13,13,0,2,2,0,0,16,6,0,12,4,4,1,2,13,1,13,10,13,35,0,0,0,0,1,3,0,420207,6540,0.000000000000000,2004,EMERSON ST,HOFFNAGLE ST,0000000,40.063447220000000,-75.048897220000001,16,38956
103,23,42,101,5,7,10,5,1,2,1,1,11,1,0,8,0,1,9,1,99,99,99,99,0,0,0,0,0,0,1,6,0,420208,6540,212.000000000000000,2004,I-95,99999999999999999999,0000000,39.948044439999997,-75.141661110000001,11,24972
672,24,42,101,5,2,19,40,1,2,1,0,16,6,0,8,0,1,1,1,19,41,19,44,20,2,0,0,0,0,1,1,0,420197,6540,0.000000000000000,2004,WESTFORD RD,99999999999999999999,0000000,40.029680560000003,-75.116158330000005,16,34656
